x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
-0.19788,228.09111,1000.75267,20.16713,0,Slussen,2.04354,1.50742,5474.19408,-89187.4765,FALSE,FALSE,0.39576
1.57934,-417.16371,1000.71331,-157.71919,0,Slussen,1.20582,-3.48627,5475.41046,-89184.03744,TRUE,FALSE,-3.15868
2.25848,-1423.16327,1000.76789,-225.7157,0,Lindstedsvägen 24,2.65877,-0.47036,5473.05056,-89188.60129,FALSE,FALSE,-4.51695
1.44937,844.08251,1000.89118,-144.54652,0,Entrée,1.37095,-4.73675,5473.07371,-89187.20636,TRUE,FALSE,-2.89873
1.65172,-314.67846,1001.03907,-164.80947,0,Slussen,0.74091,-1.73818,5473.39844,-89187.18216,TRUE,FALSE,-3.30344
2.58158,-990.05608,1000.72225,-257.7773,0,Brinnelvägen 8,3.52974,-1.3991,5471.70506,-89184.47529,TRUE,FALSE,-5.16317
0.1983,-550.76008,1000.64508,-19.42813,0,Slussen,0.06762,1.75544,5472.58498,-89185.94058,FALSE,FALSE,-0.3966
1.19423,27.0532,1000.86202,-119.01005,0,N/A,2.18707,-0.19562,5473.63766,-89186.46362,TRUE,FALSE,-2.38846
-1.02389,-1172.26158,1000.89865,102.74872,0,Entrée,-0.24345,-0.43375,5474.06066,-89189.17166,FALSE,FALSE,2.04778
-0.16331,-677.38034,1000.59454,16.8529,0,Slussen,-0.35874,1.2249,5475.03711,-89186.31855,FALSE,FALSE,0.32662
1.20842,-457.56199,1000.32983,-120.69479,0,Slussen,2.30638,0.6463,5473.41544,-89184.63442,FALSE,FALSE,-2.41684
2.13294,-56.12076,1000.28436,-213.01929,0,N/A,2.08838,-1.98298,5477.08452,-89186.6385,TRUE,FALSE,-4.26587
1.3885,1300.65683,1000.68856,-138.77673,0,Brinnelvägen 8,0.92285,-3.87483,5475.2735,-89186.20818,TRUE,FALSE,-2.77699
0.79075,-472.9678,1000.59662,-78.82775,0,Slussen,0.05438,-1.1363,5473.95931,-89184.49152,FALSE,FALSE,-1.5815
2.57194,-594.19191,1000.33754,-256.86187,0,Entrée,0.87712,-2.92774,5472.77576,-89184.77083,TRUE,FALSE,-5.14388
-0.88983,1487.67475,1000.36226,89.12766,0,Östra stationen,-0.57045,1.409,5478.70662,-89186.3955,FALSE,FALSE,1.77965
-0.59618,726.51795,1000.92114,60.1831,0,Entrée,-0.52913,0.20992,5474.46786,-89188.43825,FALSE,FALSE,1.19237
0.90925,-169.46474,1000.70443,-90.41552,0,N/A,1.37573,-2.44071,5472.8564,-89185.0568,FALSE,FALSE,-1.81851
-0.22662,1032.79239,1000.7107,22.73607,0,Brinnelvägen 8,-0.15292,-0.06389,5473.0017,-89185.91512,FALSE,FALSE,0.45325
1.12296,638.50902,1000.7774,-112.06088,0,Slussen,0.84854,-0.19383,5474.43107,-89185.45428,TRUE,FALSE,-2.24592
0.96991,-590.51079,1001.04606,-96.60814,0,Slussen,0.28517,-1.9,5473.77532,-89185.11344,FALSE,FALSE,-1.93981
1.1751,1904.02762,1000.69052,-117.38801,0,Östra stationen,1.58855,-1.65654,5473.98926,-89186.81442,TRUE,FALSE,-2.35021
0.80817,1331.10091,1000.38801,-80.55749,0,Lindstedsvägen 24,1.14403,-1.7546,5475.32242,-89187.48828,TRUE,FALSE,-1.61634
0.27854,1475.84446,1000.42715,-27.78414,0,Lindstedsvägen 24,-0.63263,-0.69445,5472.9355,-89184.96005,TRUE,FALSE,-0.55709
1.98352,-293.74077,1001.30038,-197.75433,0,Slussen,2.43092,-2.30326,5471.62225,-89186.95663,TRUE,FALSE,-3.96703
1.36415,958.50217,1000.63438,-136.18339,0,Entrée,1.60969,-0.9301,5475.62788,-89186.03553,TRUE,FALSE,-2.72829
0.11213,-1647.97081,1000.67143,-10.99205,0,Lindstedsvägen 24,-0.20741,-0.67655,5476.80322,-89185.46323,FALSE,FALSE,-0.22426
1.09453,-219.47379,1000.63383,-109.21454,0,N/A,0.76337,-0.15189,5474.30421,-89184.92957,FALSE,FALSE,-2.18905
3.18171,-406.69586,1000.41457,-318.06216,0,Slussen,3.14438,-2.20537,5474.7559,-89185.92573,TRUE,FALSE,-6.36343
1.67764,374.94922,1001.09198,-167.24749,0,Slussen,-0.36445,0.79193,5474.20867,-89187.27933,TRUE,FALSE,-3.35527
-0.08155,-1170.41851,1000.65239,8.38331,0,Brinnelvägen 8,0.21866,0.75233,5478.36478,-89185.98294,FALSE,FALSE,0.1631
3.19811,-1772.09725,1000.73554,-319.41401,0,KTH Biblioteket,2.83306,-4.48592,5474.00617,-89186.25794,TRUE,FALSE,-6.39621
0.26715,551.19987,1000.65871,-26.38203,0,Slussen,0.79905,-0.12912,5474.64021,-89186.25166,FALSE,FALSE,-0.5343
0.47097,232.49036,1000.80238,-46.53996,0,N/A,0.05421,2.31069,5474.78026,-89185.19733,FALSE,FALSE,-0.94193
1.44132,1727.7049,1000.69954,-143.70668,0,Östra stationen,3.83868,-2.49467,5477.4723,-89185.67864,TRUE,FALSE,-2.88264
0.75205,-159.21772,1000.39124,-74.86828,0,N/A,-0.77954,1.80918,5473.97234,-89186.85431,FALSE,FALSE,-1.5041
-0.37023,2058.64212,1000.21287,37.05693,0,KTH Biblioteket,-0.21604,0.63283,5475.05833,-89185.0772,TRUE,TRUE,0.74045
2.48831,1419.61809,1000.14455,-248.71004,0,Brinnelvägen 8,2.45586,-1.27858,5477.5995,-89185.75942,TRUE,FALSE,-4.97662
1.58255,-1842.69989,1000.49081,-158.08983,0,KTH Biblioteket,0.16759,0.25134,5474.76469,-89184.31348,FALSE,FALSE,-3.1651
0.13131,-57.68338,1000.29567,-12.89161,0,N/A,-0.42917,-0.84351,5481.76809,-89185.29683,FALSE,FALSE,-0.26263
-0.31886,498.82937,1000.4185,32.11844,0,Slussen,-0.07742,0.61122,5475.80767,-89185.43273,FALSE,FALSE,0.63771
-0.98513,1007.51244,1000.33823,98.76567,0,Brinnelvägen 8,-0.30454,0.30787,5473.99357,-89186.76415,FALSE,FALSE,1.97026
1.92901,855.16354,1000.73619,-192.50051,0,Entrée,1.81699,-2.79855,5475.34544,-89185.90926,TRUE,FALSE,-3.85802
1.89053,543.93066,1000.87765,-188.72968,0,Slussen,3.35185,-1.08991,5474.84256,-89183.04195,TRUE,FALSE,-3.78106
0.2033,-512.52344,1000.67069,-20.17975,0,Slussen,0.24132,-1.13458,5480.03481,-89187.63825,FALSE,FALSE,-0.4066
1.72639,187.06881,1000.73127,-172.40796,0,N/A,2.26892,-1.93908,5475.66827,-89186.23508,TRUE,FALSE,-3.45278
1.5292,70.0113,1000.46282,-152.63069,0,N/A,1.65939,-3.02772,5473.7465,-89185.88195,TRUE,FALSE,-3.0584
0.77482,197.74027,1000.23987,-77.40076,0,N/A,2.4422,-3.25948,5477.81113,-89187.4049,FALSE,FALSE,-1.54965
1.91233,414.46806,1000.1825,-191.08097,0,Slussen,2.66943,-1.92081,5473.30107,-89186.42836,TRUE,FALSE,-3.82466
2.87735,-3050.6529,1000.91394,-287.36043,-0.00001,KTH Biblioteket,3.51432,-3.14135,5472.53561,-89187.68695,FALSE,FALSE,-5.7547
2.35124,-809.0535,1000.52517,-234.92064,0,Entrée,3.21667,-3.98781,5473.36277,-89185.45999,TRUE,FALSE,-4.70249
1.14209,-1779.35923,1000.65316,-113.77214,0,Östra stationen,0.72286,1.59543,5474.50588,-89186.85139,FALSE,FALSE,-2.28418
1.57874,401.02472,1000.42211,-157.62034,0,Slussen,2.84636,1.21612,5474.40079,-89188.60786,TRUE,FALSE,-3.15749
0.08621,938.8676,1000.88491,-8.21161,0,Brinnelvägen 8,1.49739,-0.63026,5476.55684,-89184.74922,TRUE,FALSE,-0.17242
1.03709,-304.52234,1000.72361,-103.5945,0,Slussen,1.50947,-1.29251,5472.92718,-89184.63954,FALSE,FALSE,-2.07419
0.97326,847.22815,1000.44033,-97.14682,0,Entrée,1.18674,-0.83696,5473.7194,-89184.86816,TRUE,FALSE,-1.94652
1.30077,-1050.67851,1000.48129,-129.67343,0,Brinnelvägen 8,0.98177,-2.05463,5473.54692,-89185.28881,FALSE,FALSE,-2.60154
0.78542,686.29198,1000.78065,-78.21922,0,Entrée,-0.03629,-1.55135,5472.45827,-89185.18422,TRUE,FALSE,-1.57083
1.9716,290.74462,1000.99085,-196.64541,0,N/A,0.35815,0.7009,5475.73842,-89185.20456,TRUE,FALSE,-3.94319
1.36195,-914.37253,1000.54811,-135.93223,0,Entrée,1.3617,-2.07731,5474.26905,-89186.57157,FALSE,FALSE,-2.7239
1.17247,114.17315,1000.73054,-117.02781,0,N/A,2.4052,-2.32683,5475.86239,-89183.13973,TRUE,FALSE,-2.34493
1.82422,-893.39027,1000.95519,-182.06261,0,Entrée,0.37271,-0.21849,5471.54282,-89185.50289,FALSE,FALSE,-3.64843
2.46214,691.35133,1000.66887,-245.85727,0,Slussen,2.68953,-3.42333,5473.03988,-89186.17005,TRUE,FALSE,-4.92428
1.4478,874.86835,1000.54334,-144.55452,0,Entrée,1.87319,-0.2731,5470.69063,-89185.3387,TRUE,FALSE,-2.89559
1.95318,568.3328,1000.48425,-195.27913,0,Slussen,1.82106,-3.41734,5473.50746,-89183.66656,TRUE,FALSE,-3.90636
0.87122,736.5224,1000.62578,-86.71656,0,Entrée,0.87509,0.56092,5475.33871,-89186.72282,TRUE,FALSE,-1.74244
-0.28888,-1208.71647,1000.3735,29.10877,0,Brinnelvägen 8,-1.1954,0.66219,5473.04673,-89187.45368,FALSE,FALSE,0.57776
1.14576,-1497.53774,1000.6809,-114.3672,0,Lindstedsvägen 24,1.49723,-1.09481,5474.28338,-89186.14647,FALSE,FALSE,-2.29152
0.87893,-473.36059,1000.83344,-87.68113,0,Slussen,0.21266,0.70819,5473.30437,-89185.01488,FALSE,FALSE,-1.75787
-0.17421,1232.16429,1000.94546,17.88423,0,Lindstedsvägen 24,0.07266,-0.84718,5472.61243,-89184.62723,TRUE,FALSE,0.34842
0.26876,-1912.19993,1000.58842,-26.62041,0,Östra stationen,0.26755,0.71363,5477.99742,-89186.45529,FALSE,FALSE,-0.53752
1.77646,-1429.4524,1000.29383,-177.41732,0,Lindstedsvägen 24,2.42718,-0.67653,5477.62521,-89186.75763,FALSE,FALSE,-3.55292
0.93834,-96.11937,1000.76709,-93.5027,0,N/A,-0.12404,-0.68089,5475.48255,-89187.18179,FALSE,FALSE,-1.87667
4.02228,-2131.54381,1000.55488,-401.78546,0,KTH Biblioteket,4.78345,-4.24289,5473.92625,-89188.63834,TRUE,FALSE,-8.04457
0.59817,1052.35004,1000.61667,-59.32601,0,Brinnelvägen 8,0.23006,0.72535,5472.78778,-89186.14238,TRUE,FALSE,-1.19634
0.88331,-192.0729,1000.26515,-88.23607,0,N/A,0.71644,-3.00011,5474.54399,-89183.69127,FALSE,FALSE,-1.76663
0.64849,-587.28348,1000.34659,-64.6261,0,Slussen,0.3871,-1.41663,5477.61095,-89185.73298,FALSE,FALSE,-1.29698
-0.11103,-1766.64753,1000.37707,11.23554,0,Östra stationen,-1.75926,-1.57834,5473.77553,-89185.54012,FALSE,FALSE,0.22207
2.18413,1303.68219,1001.03068,-218.00908,0,Brinnelvägen 8,1.71537,-1.22892,5474.91382,-89186.23812,TRUE,FALSE,-4.36826
0.06145,87.15747,1000.66369,-5.84996,0,N/A,0.0682,0.64693,5475.32167,-89185.34173,FALSE,FALSE,-0.12289
1.11333,-775.57955,1000.69822,-110.95117,0,Entrée,0.86339,-4.05187,5472.84452,-89185.98144,FALSE,FALSE,-2.22667
0.82102,70.45418,1000.61835,-81.76798,0,N/A,-0.45214,-1.15382,5476.80867,-89187.01148,FALSE,FALSE,-1.64203
0.97362,436.08742,1000.64785,-97.10708,0,Slussen,0.98343,-1.41451,5472.65104,-89185.12937,TRUE,FALSE,-1.94724
0.32695,686.29813,1000.95689,-32.44229,0,Entrée,4.00628,-0.79645,5471.45493,-89185.03226,TRUE,FALSE,-0.6539
0.14534,1142.22831,1000.50224,-14.33711,0,Brinnelvägen 8,1.40931,2.07723,5476.25469,-89185.08695,TRUE,FALSE,-0.29068
-0.06435,1289.40098,1000.45162,6.64631,0,Lindstedsvägen 24,0.06711,-0.55628,5477.62466,-89186.1844,TRUE,FALSE,0.1287
-0.19589,1063.55382,1000.91931,20.12488,0,Brinnelvägen 8,-1.04306,-1.06476,5473.66931,-89185.62918,FALSE,FALSE,0.39179
0.83266,-637.47223,1000.48459,-83.10417,0,Slussen,1.32515,-0.29364,5473.66671,-89185.86839,FALSE,FALSE,-1.66533
0.64979,-1027.4372,1000.6001,-64.76451,0,Entrée,0.4439,-0.29569,5472.72547,-89186.60121,FALSE,FALSE,-1.29958
2.20849,-1678.89628,1000.68298,-220.60224,0,Östra stationen,3.74066,-2.56007,5473.6417,-89186.23913,FALSE,FALSE,-4.41697
-0.71168,1266.56745,1000.94935,71.70129,0,Lindstedsvägen 24,-0.43351,0.26212,5475.56973,-89186.54511,FALSE,FALSE,1.42336
1.74399,-41.48153,1000.87396,-174.03539,0,N/A,2.05415,0.02248,5476.94321,-89186.47832,TRUE,FALSE,-3.48798
1.77824,-132.85704,1000.58754,-177.7109,0,N/A,0.6522,-1.47514,5474.41438,-89186.38962,TRUE,FALSE,-3.55649
1.75253,-742.50221,1000.24641,-175.14846,0,Entrée,1.81351,-2.66203,5473.52376,-89184.13921,TRUE,FALSE,-3.50506
0.3503,945.77503,1000.86911,-34.59468,0,Brinnelvägen 8,-1.15452,-1.46047,5474.03611,-89183.11056,TRUE,FALSE,-0.7006
0.78612,-1375.78624,1000.61595,-78.32234,0,Lindstedsvägen 24,-0.08948,-1.77761,5476.99874,-89184.98228,FALSE,FALSE,-1.57224
1.67922,-1583.35897,1000.79461,-167.69525,0,Östra stationen,1.71782,-3.16523,5472.77412,-89185.62329,FALSE,FALSE,-3.35845
0.82472,-2032.02397,1000.4436,-82.33019,0,KTH Biblioteket,1.28764,-0.60364,5473.65087,-89185.45281,FALSE,FALSE,-1.64943
0.16145,1390.50933,1000.37128,-16.07437,0,Lindstedsvägen 24,0.68861,0.87929,5475.39688,-89185.52098,TRUE,FALSE,-0.32289
1.97748,-646.41787,1000.96991,-197.2012,0,Entrée,2.20675,-1.62324,5472.54393,-89184.30015,TRUE,FALSE,-3.95496
-0.72685,748.33437,1000.82419,72.98247,0,Entrée,-1.56609,-0.07239,5475.05436,-89188.16847,FALSE,FALSE,1.4537
0.7192,-16.98292,1000.83225,-71.60186,0,N/A,-2.1664,1.96895,5474.25848,-89186.59167,FALSE,FALSE,-1.43841
0.85143,-744.65625,1000.60381,-84.90441,0,Entrée,0.46774,-1.35779,5478.59882,-89187.98379,FALSE,FALSE,-1.70286
0.77422,-1455.81433,1000.54303,-76.93389,0,Lindstedsvägen 24,2.40586,-2.17757,5472.643,-89188.45143,FALSE,FALSE,-1.54845
0.47565,-201.80996,1000.27613,-47.35087,0,N/A,1.12831,-1.35666,5477.81096,-89184.19025,FALSE,FALSE,-0.95129
0.49765,-147.32481,1000.57157,-49.40053,0,N/A,-1.2639,-0.56471,5474.77408,-89186.41394,FALSE,FALSE,-0.9953
2.00532,1689.23194,1000.42437,-200.43391,0,Lindstedsvägen 24,0.67905,-1.09565,5475.52881,-89186.5665,TRUE,FALSE,-4.01063
2.48575,-367.71546,1000.33524,-248.40122,0,Slussen,2.74462,-2.70692,5475.07205,-89186.42336,TRUE,FALSE,-4.9715
1.89098,1134.42345,1000.39882,-188.88699,0,Brinnelvägen 8,2.01108,-1.47044,5478.35608,-89186.31931,TRUE,FALSE,-3.78197
-0.33845,1934.72413,1000.78489,34.23224,0,KTH Biblioteket,-1.43864,0.92562,5472.50952,-89183.76853,TRUE,FALSE,0.67689
0.76625,-222.76721,1000.09312,-76.60443,0,N/A,3.20794,-2.96996,5474.22394,-89185.40563,FALSE,FALSE,-1.5325
0.803,451.02922,1000.82846,-79.83629,0,Slussen,1.27404,-2.94885,5471.58608,-89186.08059,TRUE,FALSE,-1.606
0.9191,-655.04916,1001.13849,-91.47493,0,Slussen,1.47308,0.15024,5471.04882,-89183.75528,FALSE,FALSE,-1.8382
1.2865,691.14461,1000.586,-128.23893,0,Slussen,-1.16044,0.63758,5474.9973,-89186.55414,TRUE,FALSE,-2.573
0.41065,879.84491,1000.51279,-40.88118,0,Entrée,0.221,-0.57662,5477.29561,-89185.18837,TRUE,FALSE,-0.82131
0.76241,227.24808,1000.27735,-76.17542,0,N/A,2.40314,1.37027,5473.53309,-89182.99314,FALSE,FALSE,-1.52483
1.98798,-705.85092,1000.36982,-198.52579,0,Entrée,0.95478,0.47488,5474.35191,-89185.09046,TRUE,FALSE,-3.97596
-0.32206,850.50362,1000.90842,32.50663,0,Entrée,-2.04595,0.39633,5473.29417,-89184.88039,FALSE,FALSE,0.64412
1.42124,-356.66778,1000.60981,-141.93367,0,Slussen,-0.21106,-2.18889,5480.04555,-89187.7963,TRUE,FALSE,-2.84247
2.69914,-325.04308,1000.54324,-269.80183,0,Slussen,0.52594,0.10181,5474.0977,-89185.68985,TRUE,FALSE,-5.39829
0.48931,1511.17049,1000.49887,-48.4826,0,Lindstedsvägen 24,1.19875,0.37031,5473.01829,-89185.90277,TRUE,FALSE,-0.97862
-0.1235,-1334.11361,1000.78693,12.6393,0,Brinnelvägen 8,-0.83874,1.9222,5473.6742,-89189.3497,FALSE,FALSE,0.247
1.39936,-1012.83023,1000.84107,-139.49537,0,Brinnelvägen 8,0.81843,-2.27321,5472.07559,-89185.58725,FALSE,FALSE,-2.79872
1.75899,-74.77475,1000.45908,-175.66165,0,N/A,-1.2344,0.01139,5474.48755,-89185.48391,TRUE,FALSE,-3.51797
1.59368,-1137.94692,1000.54023,-159.11723,0,Brinnelvägen 8,1.76982,-1.57334,5477.10422,-89186.33735,FALSE,FALSE,-3.18736
0.36729,1737.85255,1000.74335,-36.46483,0,Östra stationen,-0.02553,-0.38586,5474.49421,-89186.78279,TRUE,FALSE,-0.73458
1.2028,-1144.26848,1000.73657,-120.09077,0,Brinnelvägen 8,3.95564,-1.79367,5472.63711,-89185.40317,FALSE,FALSE,-2.40559
2.20204,-931.94359,1000.57759,-220.03677,0,Brinnelvägen 8,2.27076,-3.94783,5473.96373,-89183.16659,TRUE,FALSE,-4.40407
2.73571,-2209.22538,1000.89484,-273.37098,0,KTH Biblioteket,3.2951,-2.48923,5473.39502,-89185.77983,FALSE,FALSE,-5.47142
-1.21169,5.03244,1000.98833,121.5066,0,N/A,-2.20029,2.0168,5475.00125,-89186.05775,FALSE,FALSE,2.42339
-0.09251,-1406.92575,1000.78427,9.52873,0,Brinnelvägen 8,-0.36101,-0.83592,5476.35451,-89186.71636,FALSE,FALSE,0.18502
0.59901,-909.26456,1001.04323,-59.43472,0,Entrée,-1.01476,-2.10362,5474.80878,-89186.74819,FALSE,FALSE,-1.19802
0.45965,1121.38059,1000.82974,-45.67828,0,Brinnelvägen 8,1.79459,-0.55052,5477.18571,-89188.61249,TRUE,FALSE,-0.9193
2.08697,-1293.14183,1000.28636,-208.51245,0,Lindstedsvägen 24,3.21912,-2.50022,5475.25752,-89184.39871,FALSE,FALSE,-4.17394
1.80168,-1143.03471,1000.56708,-179.63568,0,Brinnelvägen 8,2.43585,-1.19082,5474.345,-89186.79084,FALSE,FALSE,-3.60335
1.23866,475.77374,1000.8057,-123.62419,0,Slussen,-0.66577,0.19108,5473.48563,-89185.74285,TRUE,FALSE,-2.47733
-0.77598,-894.86338,1000.62576,78.06184,0,Entrée,-1.90181,-0.70724,5475.07978,-89187.76263,FALSE,FALSE,1.55196
1.973,71.44481,1000.27757,-197.24778,0,N/A,1.96524,-2.23933,5475.98522,-89187.25063,TRUE,FALSE,-3.94601
1.32531,1478.71432,1000.48619,-132.26833,0,Lindstedsvägen 24,1.17932,-1.5567,5476.92576,-89185.70375,TRUE,FALSE,-2.65061
0.84279,-359.98568,1000.72589,-84.03108,0,Slussen,0.06856,2.00699,5471.82039,-89186.08568,FALSE,FALSE,-1.68558
1.72732,-970.96869,1001.24626,-172.15737,0,Brinnelvägen 8,1.64431,-2.22287,5471.40257,-89185.80736,FALSE,FALSE,-3.45464
-0.00829,1277.48722,1000.51445,1.06122,0,Lindstedsvägen 24,0.70889,0.14931,5472.7234,-89185.8343,TRUE,FALSE,0.01658
2.13702,289.45658,1000.63326,-213.50928,0,N/A,1.24425,-2.76141,5472.74852,-89186.3024,TRUE,FALSE,-4.27403
0.37108,326.74723,1000.46888,-36.89652,0,Slussen,0.48406,-0.17327,5473.81941,-89187.34992,FALSE,FALSE,-0.74216
2.17803,-767.84924,1000.67426,-217.42844,0,Entrée,2.80373,-3.73627,5473.48306,-89185.17028,TRUE,FALSE,-4.35607
1.87729,-181.69592,1000.25426,-187.51893,0,N/A,-0.95053,-1.06359,5474.89582,-89184.66635,TRUE,FALSE,-3.75458
2.1235,-761.83327,1000.96994,-211.93862,0,Entrée,1.72121,0.00402,5475.13293,-89186.06873,TRUE,FALSE,-4.247
0.05593,-1274.04516,1000.59586,-5.1135,0,Brinnelvägen 8,1.28354,-2.20824,5473.76768,-89186.31755,FALSE,FALSE,-0.11185
0.07091,512.68889,1000.6702,-6.63451,0,Slussen,0.25739,-1.03976,5474.29036,-89186.46664,FALSE,FALSE,-0.14182
2.24282,115.23261,1000.06368,-224.26626,0,N/A,4.04737,-3.63028,5475.05935,-89187.94053,TRUE,FALSE,-4.48564
1.73896,-241.84418,1000.2511,-173.70815,0,Slussen,3.52062,-2.03598,5475.59767,-89187.99048,TRUE,FALSE,-3.47793
1.86586,-433.79979,1000.86055,-186.14037,0,Slussen,3.67815,-2.11457,5474.17535,-89184.08056,TRUE,FALSE,-3.73173
0.62928,1847.64379,1000.70615,-62.76952,0,Östra stationen,0.95413,-1.35286,5474.82806,-89185.71962,TRUE,FALSE,-1.25856
0.89443,-490.49636,1000.36387,-89.24674,0,Slussen,3.26555,1.29488,5473.68521,-89183.70827,FALSE,FALSE,-1.78886
1.21766,-18.92574,1000.80394,-121.3518,0,N/A,-1.96856,-3.19162,5478.61837,-89188.5841,TRUE,FALSE,-2.43531
1.52947,-770.57877,1000.95959,-152.43581,0,Entrée,0.74962,-1.31894,5474.60018,-89185.41541,FALSE,FALSE,-3.05894
-0.21842,1339.43563,1000.37923,21.98945,0,Lindstedsvägen 24,0.58357,0.7843,5474.61716,-89187.40586,TRUE,FALSE,0.43685
1.91019,-1780.49754,1000.80235,-190.56901,0,Östra stationen,2.33322,-0.33079,5474.75235,-89188.00918,FALSE,FALSE,-3.82037
1.32352,732.13842,1000.76176,-132.15637,0,Entrée,0.91656,-0.24593,5476.6516,-89186.66783,TRUE,FALSE,-2.64704
2.11407,-1639.24961,1000.46562,-211.16257,0,Östra stationen,2.96405,-2.02053,5475.08175,-89185.65216,FALSE,FALSE,-4.22814
